Variable Label,Risk,Cluster Labels,Cluster Name,Thresh1,Thresh2,Thresh3,Thresh4,Domain,Topic,Variable Name,age,min,max,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,Score,county,zip,census,nonveteran,veterans,weight,veteran_status
Percentage of Medicare eligible beneficiaries enrolled in a prescription drug plan per 100 population,financial Risk,0,Medicare/ Medicaid Beneficiaries,90.0,40.82,31.38,0.3,5. Healthcare context,Health insurance status,AHRF_PCT_PRESC_PEN,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of personality disorders among Medicare (dual and non-dual) beneficiaries,financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,1.0,2.0,7.0,5. Healthcare context,Health outcomes,MMD_PERSONALITY_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of Medicare (dual and non-dual) beneficiaries with three or more claims-based conditions,financial Risk,0,Medicare/ Medicaid Beneficiaries,74.0,58.0,51.0,20.0,5. Healthcare context,Health outcomes,MMD_THREE_OR_MORE_COND,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of bipolar disorder among Medicare (dual and non-dual) beneficiaries,financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,3.0,4.0,11.0,5. Healthcare context,Health outcomes,MMD_BIPOLAR_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Medicare eligible beneficiaries enrolled in a Medicare Advantage plan per 100 population,financial Risk,0,Medicare/ Medicaid Beneficiaries,96.59,39.9,26.25,0.38,5. Healthcare context,Health insurance status,MP_PCT_ADVTG_PEN,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of Medicare eligibles in the county,financial Risk,0,Medicare/ Medicaid Beneficiaries,1515544.0,49064.0,8453.0,16.0,5. Healthcare context,Health insurance status,MP_MEDICARE_ELIGIBLES,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total cardiovascular disease hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",financial Risk,0,Medicare/ Medicaid Beneficiaries,19.1,60.8,70.4,126.5,5. Healthcare context,Health outcomes,CDCA_HEART_HOSP_RATE_ABOVE65,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Average percentage of nursing home residents in the county whose primary support is Medicare,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,11.8,7.14,0.0,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICARE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of Medicare Advantage enrollees in the county,financial Risk,0,Medicare/ Medicaid Beneficiaries,784933.0,19398.0,2605.0,11.0,5. Healthcare context,Health insurance status,MP_MEDICARE_ADVTG_ENROLLED,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Medicare FFS beneficiaries who are Black or African American,financial Risk,0,Medicare/ Medicaid Beneficiaries,77.91,5.63,1.23,0.0,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_BLACK,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Medicare FFS beneficiaries who are eligible for Medicaid for at least one month,financial Risk,0,Medicare/ Medicaid Beneficiaries,69.76,17.05,11.95,0.0,5. Healthcare context,Health insurance status,MGV_PCT_MEDICAID,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Medicare FFS beneficiaries who are Hispanic,financial Risk,0,Medicare/ Medicaid Beneficiaries,84.92,2.6,0.87,0.0,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_HISPANIC,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of depressive disorders among Medicare (dual and non-dual) beneficiaries,financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,17.0,20.0,29.0,5. Healthcare context,Health outcomes,MMD_DEPR_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of anxiety disorders among Medicare (dual and non-dual) beneficiaries,financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,18.0,21.0,36.0,5. Healthcare context,Health outcomes,MMD_ANXIETY_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of clinicians who may accept the Medicare Approved Amounts,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,2.62,1.27,0.0,5. Healthcare context,Characteristics of health care providers,PC_PCT_MCARE_MAY_ACPT_APPRVD_AMT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of Medicare FFS beneficiaries who are non-Hispanic White,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,82.93,63.52,9.09,5. Healthcare context,Health insurance status,MGV_PCT_BEN_FFS_WHITE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total high blood pressure hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",financial Risk,0,Medicare/ Medicaid Beneficiaries,0.6,12.3,15.8,37.0,5. Healthcare context,Health outcomes,CDCA_BLOOD_HOSP_RATE_ABOVE65,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Total number of Medicare prescription drug plan enrollees,financial Risk,0,Medicare/ Medicaid Beneficiaries,522347.0,18794.0,3860.0,13.0,5. Healthcare context,Health insurance status,AHRF_PRESC_ENROLLMENT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of clinicians who accept Medicare Approved Amounts in full,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,97.62,95.81,0.0,5. Healthcare context,Characteristics of health care providers,PC_PCT_MEDICARE_APPRVD_FULL_AMT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total stroke hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",financial Risk,0,Medicare/ Medicaid Beneficiaries,3.2,11.8,13.7,23.6,5. Healthcare context,Health outcomes,CDCA_STROKE_HOSP_RATE_ABOVE65,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Total number of Medicare beneficiaries with Part A and Part B,financial Risk,0,Medicare/ Medicaid Beneficiaries,1389045.0,47245.0,8353.0,14.0,5. Healthcare context,Health insurance status,MGV_TOT_BEN_PART_A_B,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of Medicare FFS beneficiaries,financial Risk,0,Medicare/ Medicaid Beneficiaries,566256.0,25254.0,5134.0,13.0,5. Healthcare context,Health insurance status,MGV_TOT_BEN_FFS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Medicare beneficiary acute hospital readmissions, fee for service",financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,1148.0,4327.0,33194.0,5. Healthcare context,Utilization and costs,AHRF_TOT_MCR_BN_READM,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Medicare beneficiary hospital readmission rate, fee for service",financial Risk,0,Medicare/ Medicaid Beneficiaries,0.0,18.05,19.98,44.0,5. Healthcare context,Characteristics of health care facilities,AHRF_MCR_BN_READM_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of population with any Medicaid/means-tested public health insurance coverage,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,14.71,7.08,0.0,5. Healthcare context,Health insurance status,ACS_PCT_MEDICAID_ANY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with any Medicaid/means-tested public health insurance coverage (ages 64 and below),financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,16.75,7.8,0.0,5. Healthcare context,Health insurance status,ACS_PCT_MEDICAID_ANY_BELOW64,Yes,0.0,64.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Total number of facilities that provide mental health services and accept Medicaid per 1,000 population",financial Risk,0,Medicare/ Medicaid Beneficiaries,1.5699,0.027,0.0122,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDMHFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of facilities that provide mental health services and accept Medicaid,financial Risk,0,Medicare/ Medicaid Beneficiaries,175.0,7.0,1.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDMHFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Average percentage of nursing home residents in the county whose primary support is Medicaid,financial Risk,0,Medicare/ Medicaid Beneficiaries,100.0,61.39,53.88,0.0,5. Healthcare context,Utilization and costs,LTC_AVG_PCT_MEDICAID,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Median income of male population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,38450.0,28000.0,2499.0,2. Economic context,Income,ACS_MEDIAN_INC_M,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median income of female population (dollars, ages 15 and over with income in the past 12 months, inflation-adjusted to data file year)",financial Risk,1,Income,182570.0,25023.0,19139.0,2499.0,2. Economic context,Income,ACS_MEDIAN_INC_F,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median income of civilian nonveteran population (dollars, ages 18 and over, inflation-adjusted to data file year)",financial Risk,1,Income,204708.0,31010.5,23331.0,2499.0,2. Economic context,Income,ACS_MEDIAN_NONVET_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,Yes,No,1.0,-1
"Median household income for households with an American Indian and Alaska Native alone householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,52656.0,34315.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_AIAN,No,inf,-1.0,No,-1.0,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,54381.5,37555.8,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_HISP,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a Native Hawaiian and other Pacific Islander alone householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,70625.0,45625.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_NHPI,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a some other race alone householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,51650.0,36063.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_OTHER,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a two or more races householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,58864.0,38256.8,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_MULTI,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a Black or African American alone householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,44799.0,28451.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_BLACK,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with a White alone, not Hispanic or Latino householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,64063.0,47250.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_WHITE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of owner-occupied housing units with selected monthly owner costs equal to 30 percent or more of household income,financial Risk,1,Income,0.0,20.07,28.93,100.0,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_30PCT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Median household income for households with an Asian alone householder (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,77581.0,51102.0,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC_ASIAN,No,inf,-1.0,No,-1.0,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of owner-occupied housing units with selected monthly owner costs equal to 50 percent or more of household income,financial Risk,1,Income,0.0,7.68,12.81,100.0,4. Physical infrastructure,Housing,ACS_PCT_OWNER_HU_COST_50PCT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of renter-occupied housing units with rent equal to 30 percent or more of household income,financial Risk,1,Income,0.0,45.07,59.71,100.0,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_30PCT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Estimated median household income,financial Risk,1,Income,160305.0,62711.0,52203.0,22901.0,2. Economic context,Income,SAIPE_MEDIAN_HH_INCOME,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of renter-occupied housing units with rent equal to 50 percent or more of household income,financial Risk,1,Income,0.0,20.34,32.88,100.0,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_50PCT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Median income of grandparent householder and/or spouse responsible for grandchildren under 18 (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,62652.0,43375.0,2499.0,2. Economic context,Income,ACS_MDN_GRNDPRNT_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median income of civilian veterans (dollars, ages 18 and over, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,40891.5,30380.6,2499.0,2. Economic context,Income,ACS_MEDIAN_VET_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,Yes,1.0,1
Gini index of income inequality,financial Risk,1,Income,0.01,0.42,0.47,0.89,2. Economic context,Income,ACS_GINI_INDEX,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Per capita income (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,489580.0,30370.0,22450.0,14.0,2. Economic context,Income,ACS_PER_CAPITA_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median income of grandparent householder and/or spouse responsible for grandchildren under 18 and no parent present (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,45909.0,31641.0,2499.0,2. Economic context,Income,ACS_MDN_GRNDPRNT_NO_PRNT_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Median household income (dollars, inflation-adjusted to data file year)",financial Risk,1,Income,250001.0,60421.5,43189.8,2499.0,2. Economic context,Income,ACS_MEDIAN_HH_INC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Emergency department visits per 1,000 Asian or Pacific Islander Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,335.0,429.0,3636.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_ASIAN_RATE,No,inf,-1.0,No,-1.0,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 Hispanic Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,584.0,730.0,2867.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_HISP_RATE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 male Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,45.0,536.0,609.0,1218.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_M_RATE,No,inf,-1.0,Yes,1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 other race Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,407.0,556.0,2615.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_OTHER_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 American Indian or Alaska Native Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,833.0,1141.0,5462.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_AIAN_RATE,No,inf,-1.0,No,-1.0,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 Black Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,831.0,966.0,6500.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_BLACK_RATE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 female Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,29.0,536.0,623.0,1517.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_F_RATE,No,inf,-1.0,Yes,0.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 Medicare only beneficiaries",financial Risk,2,Beneficiary Visits,0.0,445.0,509.0,1111.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_MED_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Emergency department visits per 1,000 White Medicare (dual and non-dual) beneficiaries",financial Risk,2,Beneficiary Visits,0.0,504.0,579.0,1156.0,5. Healthcare context,Utilization and costs,MMD_ED_VISITS_WHITE_RATE,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Estimated percentage of uninsured population for all income levels (under 65 years),financial Risk,1,Income,2.4,9.2,13.4,35.8,5. Healthcare context,Health Insurance Status,SAHIE_PCT_UNINSURED64,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of population with an income to poverty ratio of 2.00 or higher,financial Risk,1,Income,100.0,70.69,54.38,0.0,2. Economic context,Poverty,ACS_PCT_PERSON_INC_ABOVE200,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with an income to poverty ratio under 1.00,financial Risk,1,Income,0.0,10.79,20.75,100.0,2. Economic context,Poverty,ACS_PCT_PERSON_INC_BELOW99,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with income to poverty ratio under 0.50 (ages 65 and over),financial Risk,1,Income,0.0,1.92,5.03,100.0,2. Economic context,Poverty,ACS_PCT_INC50_ABOVE65,Yes,65.0,inf,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income between $10,000 and $14,999",financial Risk,1,Income,0.0,3.56,7.07,100.0,2. Economic context,Income,ACS_PCT_HH_INC_14999,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income greater than $100,000",financial Risk,1,Income,100.0,24.27,13.25,0.0,2. Economic context,Income,ACS_PCT_HH_INC_100000,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income between $50,000 and $99,999",financial Risk,1,Income,100.0,30.7,22.91,0.0,2. Economic context,Income,ACS_PCT_HH_INC_99999,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with an income to poverty ratio between 1.00 and 1.24,financial Risk,1,Income,0.0,3.49,6.96,100.0,2. Economic context,Poverty,ACS_PCT_PERSON_INC_100_124,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with income to poverty ratio under 0.50,financial Risk,1,Income,0.0,4.42,9.16,100.0,2. Economic context,Poverty,ACS_PCT_INC50,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income less than $10,000",financial Risk,1,Income,0.0,4.59,9.35,100.0,2. Economic context,Income,ACS_PCT_HH_INC_10000,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income between $15,000 and $24,999",financial Risk,1,Income,0.0,8.32,13.52,100.0,2. Economic context,Income,ACS_PCT_HH_INC_24999,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of population with household income between $25,000 and $49,999",financial Risk,1,Income,0.0,21.81,28.52,100.0,2. Economic context,Income,ACS_PCT_HH_INC_49999,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of population with an income to poverty ratio between 1.25 and 1.99,financial Risk,1,Income,100.0,12.82,6.94,0.0,2. Economic context,Poverty,ACS_PCT_PERSON_INC_125_199,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households receiving food stamps/SNAP with income below the poverty level,financial Risk,1,Income,100.0,3.5,0.73,0.0,2. Economic context,Poverty,ACS_PCT_HH_FOOD_STMP_BLW_POV,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with public assistance income or food stamps/SNAP,financial Risk,1,Income,100.0,9.76,4.09,0.0,2. Economic context,Poverty,ACS_PCT_HH_PUB_ASSIST,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households not receiving food stamps/SNAP with income below the poverty level,financial Risk,1,Income,0.0,6.41,10.85,100.0,2. Economic context,Poverty,ACS_PCT_HH_NO_FD_STMP_BLW_POV,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of Local Education Authorities in a county that offer preschool to low-income families,financial Risk,1,Income,100.0,14.81,5.26,0.0,3. Education,School System,CRDC_PCT_CTY_PSLOWINC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of civilian veterans with income below the poverty level in past 12 months (between ages 18 and 64),financial Risk,1,Income,0.0,0.0,21.49,100.0,2. Economic context,Poverty,ACS_PCT_VET_POV_18_64,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,Yes,1.0,1
